DATE,VALUE
2000-11-06,0.058550000000000005
2000-11-07,0.05859
2000-11-08,0.058499999999999996
2000-11-09,0.05808
2000-11-10,0.05795
2000-11-13,0.05761
2000-11-14,0.05744
2000-11-15,0.05698
2000-11-16,0.05669
2000-11-17,0.05694
2000-11-20,0.056639999999999996
2000-11-21,0.056600000000000004
2000-11-22,0.05593
2000-11-24,0.05622
2000-11-27,0.056260000000000004
2000-11-28,0.05589
2000-11-29,0.05543
2000-11-30,0.05439
2000-12-01,0.05513
2000-12-04,0.055220000000000005
2000-12-05,0.054299999999999994
2000-12-06,0.05319
2000-12-07,0.05299
2000-12-08,0.05344
2000-12-11,0.0536
2000-12-12,0.05343
2000-12-13,0.052779999999999994
2000-12-14,0.05213
2000-12-15,0.05176
2000-12-18,0.051559999999999995
2000-12-19,0.051840000000000004
2000-12-20,0.05075
2000-12-21,0.05023
2000-12-22,0.050019999999999995
2000-12-26,0.05022
2000-12-27,0.05086
2000-12-28,0.05114
2000-12-29,0.051100000000000007
2001-01-02,0.04917
2001-01-03,0.05097
2001-01-04,0.05013
2001-01-05,0.04948
2001-01-08,0.04897
2001-01-09,0.049640000000000004
2001-01-10,0.050839999999999996
2001-01-11,0.05116
2001-01-12,0.052300000000000006
2001-01-16,0.05234
2001-01-17,0.051559999999999995
2001-01-18,0.050949999999999995
2001-01-19,0.05174
2001-01-22,0.05221
2001-01-23,0.05274
2001-01-24,0.05303
2001-01-25,0.0527
2001-01-26,0.05253
2001-01-29,0.05295
2001-01-30,0.05212
2001-01-31,0.05179
2001-02-01,0.05061
2001-02-02,0.05138
2001-02-05,0.05146
2001-02-06,0.05195
2001-02-07,0.05179
2001-02-08,0.05099
2001-02-09,0.05016
2001-02-12,0.05048
2001-02-13,0.050679999999999996
2001-02-14,0.051050000000000005
2001-02-15,0.05178
2001-02-16,0.05093
2001-02-20,0.05097
2001-02-21,0.051289999999999995
2001-02-22,0.05154
2001-02-23,0.0508
2001-02-26,0.050359999999999995
2001-02-27,0.04956000000000001
2001-02-28,0.049080000000000006
2001-03-01,0.04856
2001-03-02,0.049429999999999995
2001-03-05,0.04963
2001-03-06,0.049710000000000004
2001-03-07,0.04919
2001-03-08,0.04887
2001-03-09,0.04931
2001-03-12,0.04919
2001-03-13,0.04931
2001-03-14,0.04851
2001-03-15,0.04804
2001-03-16,0.04752
2001-03-19,0.048150000000000005
2001-03-20,0.04791
2001-03-21,0.04768
2001-03-22,0.047080000000000004
2001-03-23,0.047990000000000005
2001-03-26,0.048470000000000006
2001-03-27,0.04983
2001-03-28,0.049710000000000004
2001-03-29,0.04963
2001-03-30,0.04915
2001-04-02,0.049710000000000004
2001-04-03,0.04935
2001-04-04,0.04923
2001-04-05,0.04963
2001-04-06,0.04874
2001-04-09,0.04906
2001-04-10,0.050679999999999996
2001-04-11,0.051089999999999997
2001-04-12,0.05146
2001-04-16,0.052750000000000005
2001-04-17,0.051879999999999996
2001-04-18,0.05118
2001-04-19,0.052329999999999995
2001-04-20,0.052629999999999996
2001-04-23,0.051879999999999996
2001-04-24,0.051879999999999996
2001-04-25,0.052539999999999996
2001-04-26,0.05192
2001-04-27,0.05313
2001-04-30,0.053380000000000004
2001-05-01,0.05288
2001-05-02,0.05284
2001-05-03,0.052009999999999994
2001-05-04,0.051840000000000004
2001-05-07,0.05205
2001-05-08,0.052169999999999994
2001-05-09,0.051680000000000004
2001-05-10,0.05272
2001-05-11,0.05484
2001-05-14,0.05416000000000001
2001-05-15,0.0548
2001-05-16,0.054669999999999996
2001-05-17,0.054669999999999996
2001-05-18,0.05391
2001-05-21,0.05386
2001-05-22,0.05399
2001-05-23,0.05391
2001-05-24,0.05489
2001-05-25,0.05485
2001-05-29,0.055069999999999994
2001-05-30,0.05503
2001-05-31,0.054130000000000005
2001-06-01,0.053540000000000004
2001-06-04,0.053239999999999996
2001-06-05,0.052610000000000004
2001-06-06,0.052649999999999995
2001-06-07,0.05295
2001-06-08,0.05333
2001-06-11,0.05287
2001-06-12,0.0524
2001-06-13,0.05257
2001-06-14,0.05215
2001-06-15,0.05228
2001-06-18,0.05241
2001-06-19,0.05228
2001-06-20,0.05199
2001-06-21,0.05178
2001-06-22,0.051239999999999994
2001-06-25,0.05132
2001-06-26,0.05224
2001-06-27,0.052329999999999995
2001-06-28,0.053259999999999995
2001-06-29,0.053899999999999997
2001-07-02,0.05331
2001-07-03,0.05378
2001-07-05,0.05412
2001-07-06,0.053739999999999996
2001-07-09,0.053399999999999996
2001-07-10,0.05272
2001-07-11,0.05285
2001-07-12,0.052300000000000006
2001-07-13,0.05234
2001-07-16,0.05175
2001-07-17,0.05179
2001-07-18,0.05087
2001-07-19,0.05104
2001-07-20,0.05112
2001-07-23,0.05107999999999999
2001-07-24,0.05087
2001-07-25,0.05107999999999999
2001-07-26,0.051500000000000004
2001-07-27,0.05096
2001-07-30,0.05096
2001-07-31,0.05037
2001-08-01,0.05066
2001-08-02,0.05125
2001-08-03,0.05159
2001-08-06,0.05176
2001-08-07,0.051719999999999995
2001-08-08,0.05054
2001-08-09,0.05028
2001-08-10,0.05016
2001-08-13,0.0496
2001-08-14,0.04968
2001-08-15,0.04992
2001-08-16,0.04936
2001-08-17,0.04841
2001-08-20,0.04896
2001-08-21,0.048760000000000005
2001-08-22,0.04896
2001-08-23,0.048760000000000005
2001-08-24,0.04912
2001-08-27,0.04932
2001-08-28,0.048479999999999995
2001-08-29,0.04777
2001-08-30,0.04781
2001-08-31,0.04816
2001-09-04,0.04979
2001-09-05,0.04967
2001-09-06,0.04856
2001-09-07,0.04796
2001-09-10,0.04835
2001-09-17,0.04611
2001-09-18,0.04705
2001-09-19,0.04681
2001-09-20,0.047279999999999996
2001-09-21,0.04689
2001-09-24,0.047
2001-09-25,0.047
2001-09-26,0.046369999999999995
2001-09-27,0.04559
2001-09-28,0.04575
2001-10-01,0.04543
2001-10-02,0.04511999999999999
2001-10-03,0.04458
2001-10-04,0.04508
2001-10-05,0.04504
2001-10-08,0.04504
2001-10-09,0.045739999999999996
2001-10-10,0.04589000000000001
2001-10-11,0.046639999999999994
2001-10-12,0.04659
2001-10-15,0.046079999999999996
2001-10-16,0.04569
2001-10-17,0.04561
2001-10-18,0.04561
2001-10-19,0.046
2001-10-22,0.04604
2001-10-23,0.046349999999999995
2001-10-24,0.04584
2001-10-25,0.04537
2001-10-26,0.04521
2001-10-29,0.044669999999999994
2001-10-30,0.04412
2001-10-31,0.04263
2001-11-01,0.04217
2001-11-02,0.04346
2001-11-05,0.042960000000000005
2001-11-06,0.04269
2001-11-07,0.04201
2001-11-08,0.04303
2001-11-09,0.043070000000000004
2001-11-12,0.04314
2001-11-13,0.043680000000000004
2001-11-14,0.045149999999999996
2001-11-15,0.047279999999999996
2001-11-16,0.04885
2001-11-19,0.047560000000000005
2001-11-20,0.04869
2001-11-21,0.04966
2001-11-23,0.049909999999999996
2001-11-26,0.05003
2001-11-27,0.0495
2001-11-28,0.04946
2001-11-29,0.047560000000000005
2001-11-30,0.047439999999999996
2001-12-03,0.04703
2001-12-04,0.046479999999999994
2001-12-05,0.04901
2001-12-06,0.05003
2001-12-07,0.05148
2001-12-10,0.05136
2001-12-11,0.05077
2001-12-12,0.04974
2001-12-13,0.0509
2001-12-14,0.051609999999999996
2001-12-17,0.05274
2001-12-18,0.05132
2001-12-19,0.050359999999999995
2001-12-20,0.05049000000000001
2001-12-21,0.050780000000000006
2001-12-24,0.05132
2001-12-26,0.05178
2001-12-27,0.050949999999999995
2001-12-28,0.051070000000000004
2001-12-31,0.050320000000000004
2002-01-02,0.05157
2002-01-03,0.0512
2002-01-04,0.05141
2002-01-07,0.050570000000000004
2002-01-08,0.050570000000000004
2002-01-09,0.050620000000000005
2002-01-10,0.04962
2002-01-11,0.04859
2002-01-14,0.04868
2002-01-15,0.048310000000000006
2002-01-16,0.04839
2002-01-17,0.04933
2002-01-18,0.04888
2002-01-22,0.049
2002-01-23,0.05
2002-01-24,0.05029
2002-01-25,0.05071
2002-01-28,0.050789999999999995
2002-01-29,0.049749999999999996
2002-01-30,0.049710000000000004
2002-01-31,0.05025
2002-02-01,0.04979
2002-02-04,0.04896
2002-02-05,0.049249999999999995
2002-02-06,0.04929
2002-02-07,0.04931
2002-02-08,0.04878999999999999
2002-02-11,0.04899
2002-02-12,0.04967
2002-02-13,0.05003
2002-02-14,0.049589999999999995
2002-02-15,0.04863000000000001
2002-02-19,0.04883
2002-02-20,0.04878999999999999
2002-02-21,0.04871
2002-02-22,0.04827
2002-02-25,0.04851
2002-02-26,0.04915
2002-02-27,0.048470000000000006
2002-02-28,0.04859
2002-03-01,0.049710000000000004
2002-03-04,0.04999
2002-03-05,0.05008
2002-03-06,0.050320000000000004
2002-03-07,0.05212
2002-03-08,0.05316
2002-03-11,0.053200000000000004
2002-03-12,0.053040000000000004
2002-03-13,0.05261999999999999
2002-03-14,0.05396
2002-03-15,0.053630000000000004
2002-03-18,0.053040000000000004
2002-03-19,0.05325
2002-03-20,0.053970000000000004
2002-03-21,0.053840000000000006
2002-03-22,0.05389
2002-03-25,0.05406
2002-03-26,0.05334
2002-03-27,0.0533
2002-03-28,0.05406
2002-04-01,0.05428
2002-04-02,0.05348
2002-04-03,0.05285
2002-04-04,0.05272
2002-04-05,0.0521
2002-04-08,0.05235
2002-04-09,0.0521
2002-04-10,0.05223
2002-04-11,0.05202
2002-04-12,0.051559999999999995
2002-04-15,0.051269999999999996
2002-04-16,0.05177
2002-04-17,0.05219
2002-04-18,0.05215
2002-04-19,0.0519
2002-04-22,0.05168999999999999
2002-04-23,0.05165
2002-04-24,0.050949999999999995
2002-04-25,0.050910000000000004
2002-04-26,0.05058
2002-04-29,0.05099
2002-04-30,0.050910000000000004
2002-05-01,0.05058
2002-05-02,0.05099
2002-05-03,0.050620000000000005
2002-05-06,0.050789999999999995
2002-05-07,0.050730000000000004
2002-05-08,0.0521
2002-05-09,0.05187
2002-05-10,0.051269999999999996
2002-05-13,0.052199999999999996
2002-05-14,0.052939999999999994
2002-05-15,0.05252
2002-05-16,0.05187
2002-05-17,0.05241
2002-05-20,0.05189
2002-05-21,0.05148
2002-05-22,0.051
2002-05-23,0.05148
2002-05-24,0.05138
2002-05-28,0.051340000000000004
2002-05-29,0.05077
2002-05-30,0.050320000000000004
2002-05-31,0.05043
2002-06-03,0.0504
2002-06-04,0.05012
2002-06-05,0.05041
2002-06-06,0.0501
2002-06-07,0.050620000000000005
2002-06-10,0.05043
2002-06-11,0.049909999999999996
2002-06-12,0.0495
2002-06-13,0.04907
2002-06-14,0.04806
2002-06-17,0.04856
2002-06-18,0.048479999999999995
2002-06-19,0.047259999999999996
2002-06-20,0.04826
2002-06-21,0.04755
2002-06-24,0.048440000000000004
2002-06-25,0.04841
